ditto mark,〃
letter from home,家書
family custom,家常
steward (of an estate),家職
word from home,家信
retainer,家臣
household member (incl. servant),家人
homemaking,家政
maid,家政婦
honor of the family,家声
physiognomy of a house,家相
household possessions,家蔵
family,家族
family planning,家族計画
family man,家族持ち
family members,家族達
taking the family along,家族連れ
row of houses,家続き
premises,家宅
house search (e.g. by the police),家宅捜査
house search (e.g. by the police),家宅捜索
cattle,家畜
clan,いえ中
matriarch,家長
rent,家賃
hearth,家庭
thinking little of one's family,家庭を顧みない
home economics,家庭科
home education,家庭教育
governess,家庭教師
family court,家庭裁判所
domestic violence,家庭内暴力
domestic use,家庭用
family column (newspaper),家庭欄
family tradition,家伝
consumer electronics,家電
tame rabbit,家兎
headship of a family,家督
succession to headship of a family,家督相続
one's family,家内
steward,家扶
system of patriarchy,家父長制
wind blowing from the direction of one's home,家風
good family,家柄
heirloom,家宝
family code,家法
manservant,家僕
family honor,家名
rattling of a house,家鳴り
family crest,家紋
servant,家頼
butler,家令
family custom,家例
the road home,家路
daimyo's minister,家老
taciturnity,寡言
unprolific (writer, artist, etc.),寡作
puny,寡少
numerically inferior force,寡勢
oligopoly,寡占
widower,鰥
being ill-informed,寡聞
small army force,寡兵
uncommunicative,寡黙
wanting little,寡慾
(taxonomical) family,科
to impose (a fine, etc.),科する
science,科学
science institute,科学院
scientific technique,科学技術
Science and Technology Agency (1956-2001),科学技術庁
Director General of Science and Technology Agency,科学技術庁長官
scientist,科学者
scientific,科学的
Chinese higher civil service examinations,科挙
fine (for a minor offence),科料
idle moment,暇なとき
to take time,暇取る
loafer,隙人
killing time,暇潰し
to finish doing,遂せる
duel,果し合い
to do ... entirely,果す
the result,果て
fate,果てし
eternal,果てしが無い
everlasting,果てし無い
interminably,果てしなく
to do completely,果てる
bold,果敢
fruits and vegetables,果菜
profit,果実
fruit liqueur,果実酒
fruit store,果実店
fruit tree,果樹
fruit farm,果樹園
fruit juice,果汁
eating fruit,果食
sure enough,果然
drastic,果断
fruit sugar,果糖
flesh of fruit,果肉
rind,果皮
fruit,菓物
fruiteress,果物屋
vipaka (retribution),果報
good things come to those who wait,果報は寝て待て
lucky fellow,果報者
to straddle,架かる
overhead,架空
on the shelf,架上
building,架設
overheard wire,架線
abutment,架台
modern poetry,詩
to sing responsively,歌い合う
to praise in poetry,歌いあげる
tanka composer,歌詠み
gathering of tanka poets,歌会
poetry rules,歌格
versification,歌学
song,歌曲
opera,歌劇
manuscript of poem,歌稿
libretto,歌詞
singer,歌手
songbook,歌集
book of poems,歌書
singing,歌唱
meaning of a waka poem,歌心
poet (of tanka poems),歌人
great poet,歌聖
immortal poet,歌仙
name of poem,歌題
poetry circles,歌壇
tanka poetry,歌道
monument (stele, gravestone, etc.) engraved with a waka,歌碑
diva,歌姫
kabuki,歌舞妓
poetic style,歌風
oft-repeated descriptive epithets in poetry,歌枕
ballad,歌謡
(Western) pop song,歌謡曲
river port,河港
kajika frog (Buergeria buergeri),河鹿
raised platform on the bank of a river for enjoying the cool in summer,川床
stream,河水
rivers,河川
cucumber sushi wrapped in nori (seaweed),河童
cucumber makizushi,河童巻き
swellfish,鯺
hippopotamus (Hippopotamus amphibius),河馬
riverside,河畔
blaze,火
heat,火の気
jack-o'-lantern,火の玉
fire tower,火の見
watchtower,火の見やぐら
possible cause of a fire,火の元
dire straits,火の車
aggression,火の手
fire watchman,火の番
sparks,火の粉
shadows or forms moving in firelight,灯影
gasoline bomb,火炎瓶
flamethrower,火焔放射器
lamp chimney,火屋
fire strength,火加減
spark,火花
cover for the touch-hole on a cannon or matchlock,火ぶた
guns,火器
force of a fire,火気
spreading of a fire,火足
emergency,火急
fireball,火玉
execution by burning,火刑
origin of a fire,火元
firelight,火光
burner (of a boiler),火口
crater lake,火口湖
fire,火災
fire insurance,火災保険
priming pan,火皿
volcano,火山
volcanic ash,火山灰
volcanic activity,火山活動
volcanic rock,火山岩
conflagration,火事
length of time a fire burns,火保ち
stoker,火手
trigger,火種
cachaça (Brazilian liquor),火酒
fire grate,火床
to burn,火照る
eating cooked food,火食
cassowary (Casuarius spp.),食火鶏
force of flames,火勢
igneous rock,火成岩
Mars (planet),火星
Martian,火星人
flame tips,火先
cremation,火葬
firestone,燧石
this world of suffering,火宅
burning (something),火中
blazing column,火柱
arquebus,火縄銃
fire calamity,火難
pasteurization,火入れ
heat (from a flame),火熱
fire tongs,火ばし
hibachi,火鉢
lighting a fire,火付き
stoker,火夫
artillery,火砲
Tue-Thurs-Sat,火木土
powder,火薬
having an affair,火あそび
Tuesday,火曜
Tuesday,火曜日
firepower,火力
fire support,火力支援
fire support plan,火力支援計画
fire support coordination line,火力支援調整線
fire support element,火力支援部隊
thermal power station (i.e. using combustion),火力発電所
kotatsu,火燵
cause of trouble,禍因
mischief,禍害
source of misfortune,禍源
cause of misfortune,禍根
weal and woe,禍福
earnings,稼ぎ
hard worker,稼ぎ手
to toil,稼ぐ
to earn income,稼げる
job,稼業
counter for months,ケ月
point,個条
lovely,華
Japanese red maple (Acer pycnanthum),花の木
(flower) petal,花瓣
function over aesthetics,花より団子
stylized signature,華押
tree peony (Paeonia suffruticosa),花王
flower shop,花屋
bride,花嫁
fireworks,煙火
flower bud,花芽
wreath,花冠
flower vase,花器
frequent customer,花客
star (actor, player, etc.),花形
stem of flower,花茎
flower viewing,花見
fragrance of flowers,花香
to bloom,花咲く
flower cards,花札
flowering season,花時
flower clock,花時計
rachis (floral axis),花軸
appearance and substance,華実
flowering tree,花樹
Iris ensata,花しょうぶ
tidings of flowers,花信
storm of falling cherry blossoms,花ふぶき
booming or peaking (in popularity),花ざかり
bouquet,花束
flowers and birds,花鳥
artistic pursuits involving nature themes,花鳥風月
floral streetcar,花電車
honourable end to a career,花道
hazy weather in spring,花曇
flower bed,花畑
floral envelope,花被
(flower) vase,花びん
flower album,花譜
pollen,花粉
pollinosis (allergy to pollen),花粉症
flower pattern,花柄
petal,花片
tidings of flowers,花だより
spike,花穂
bridegroom,花婿
floral pattern,花模様
flowering trees,花木
flower design,花紋
rosette,花紋板
cauliflower,花椰菜
demimonde,花柳界
social disease,花柳病
quince (Cydonia oblonga),榠樝
karintō (sugar-coated cookie made from fried dough),花林糖
garland,花環
chilly spring weather,花冷え
flower calendar,花暦
granite,花こう岩
to harrow,嘖む
bully,苛めっ子
to treat harshly,虐める
cruel treatment,苛虐
caustic,苛性
sodium hydroxide,苛性ソーダ
despotism,苛政
heavy taxation,苛税
to lose one's patience,いら立つ
to exasperate,苛立てる
stern,苛烈
oppressive exaction (of taxes, etc.),苛斂
aubergine,茄
responsibility,荷
bill of exchange,荷為替
crating,荷づくり
tag,荷札
wagon,荷車
consignor,荷主
receipt of goods,荷受
weight (of a load),荷重
lighter,荷船
lading,荷足
lighter,荷足り
horseload,荷駄
roof rack,荷台
electric charge,荷電
movement of goods,荷動き
packing cord,荷縄
pack horse,荷馬
dray,荷馬車
payload (of a packet, cell, etc.),荷物
to pack one's things,荷物を詰める
collapsing load (as on lorries, trucks),荷崩れ
drag,荷厄介
landing,荷揚げ
special guests,華客
overseas Chinese,華僑
flowery words,華言
age of 60,花甲
Chinese merchants abroad,華商
bright light,華燭
wedding ceremony,華燭の典
aristocracy,華族
central China,華中
South China,華南
luxury,花美
monument at cemetery entrance,華表
North China,華北
gorgeous,華麗
nobility,華冑
frail,華車
cake,菓子
sweet shop,菓子屋
Yezo,蝦夷
squilla,青竜蝦
counter for lessons and chapters (of a book),課
to set,課す
to set,課する
section staff,課員
extracurricular,課外
lessons,課業
paying for items in online games,課金
section system (companies),課制
taxation,課税
tax exemption,課税控除
taxable income,課税所得
question,課題
charges (i.e. fees),課徴金
section chief,課長
curriculum,課程
worldly goods,貨財
van,貨車
money-making,貨殖
money or assets,貨物
freight depot,貨物駅
truck,貨物自動車
cargo ship,貨物船
coinage,貨幣
currency value,貨幣価値
Garua,迦楼羅
over- (e.g. eating),過ぎ
to be too ...,過ぎる
to pass by,過去る
to ... without acting on it,過す
faux pas,誤ち
to err,誤つ
previous life,過去
past tense,過去形
overtime work,過勤
radical,過激
extremists,過激派
gaffe,過言
fault,過誤
hydrogen peroxide,過酸化水素
peroxide,過酸化物
defect,過失
too severe,過重
too small,過小
undervaluation,過小評価
insufficient,過少
overabundance,過剰
excess profit,過剰利益
overeating,過食
bulimarexia,過食症
overestimating ability,過信
depopulation,過疎
superabundance,過多
mistake,過怠
unreasonable,過大
overvaluing,過大評価
mechanism,過程
changing old to new,過渡
transition period,過渡期
transitional,過渡的
immoderate,過度
profuse apology,過度の弁解
exorbitant,過当
a day in the past,過日
overheating,過熱
past financial year,過年度
the greater part,過半
