ditto,同断
silkworm-raising room,蚕室
silkworm-egg card,蚕種
invasion,侵冦
(slow but steady) invasion,蚕食
silkworm egg,蚕卵
hymn,讚歌
endorsement,太鼓判
for and against,賛否
mixed reviews,賛否両論
extolment,讃美
sour taste,酸
oxidization,酸化
antioxidant,酸化防止剤
oxygen,酸欠
lack of oxygen,酸欠
acidic,酸性
acid rain,酸性雨
O,酸素
oxygen (O),酸素
oxygen supply,酸素供給
acid poisoning,酸中毒
acidity,酸み
to cut (off),斬る
innovative,嶄新
long time no see,須臾
a short time later,暫くすると
short while,暫時
tentative,暫定
provisional agreement,暫定協定
caretaker,引取り手
caretaker government,暫定政府
left-over,残り
embers,螢火
remnants,残り物
to be left,遺る
residue,残滓
barbarous,兇暴
echo,残響
overtime (work),残業
remaining money,残金
afterglow,残光
remainder,贏余
inhuman,非道
lingering summer heat,残暑
reluctance,残心
afterimage,残像
being left,残存
cold-blooded,惨忍
vexing,残念
regrettably,残念ながら
food scraps,残飯
remaining business,残務
finishing,片づけ
finishing remaining business,残務整理
residual,残留
to attend,事える
commanded,仕え奉る
to build as commanded,仕え奉る
resign,仕を致す
to resign,棄てる
commencement,卒業式
meld,役
to make a meld call,し掛ける
fireworks piece,仕掛け花火
booby,仕掛地雷
booby trap,仕掛地雷
ronin,仕官
finding a new lord or master to serve (of a ronin),仕官
outcome,出来上り
one's doing,為業
liable,仕兼ねない
liable to do,仕兼ねない
to be unable to do,仕兼ねる
lucky dog,仕合わせ者
girl studying to become a geisha,仕込
sword cane,仕込み杖
fit,痙れん
to fit,仕込む
to start (doing),仕始める
work table,仕事台
business suit,脊広
work day,仕事日
workbox,仕事箱
workroom,仕事部屋
in a manner related to work,仕事柄
speculator,為手
speculator (in trading),為手
speculative,投機的
speculative stock,仕手株
caterer,仕出し屋
deliver,仕出す
to deliver food,仕出す
to be done,仕上る
to polish off,仕上げる
piecework,手間仕事
piecework pay,仕上げ払い
fitter,組立て工
taking responsibility for,仕切
to poise oneself for the initial charge,仕切る
impossible,不可能
impossible to do,仕切れない
to plot,仕組む
sending (someone) an allowance,為送り
anew,仕替える
to start anew,仕替える
execution;,仕置
criminal punishment (esp. execution; Edo period),仕置
execution ground,仕置き場
resume,履歴書
to resume,仕なおす
to be experienced in,仕馴れる
buying up,総仕舞
to take in,謀る
received,仕入れ物
stock of goods received,仕入れ物
teaching manners,躾け
to plant (esp. rice seedlings),為付ける
basting (thread),仕付け糸
hoard,仕舞いこむ
to hoard,仕舞いこむ
to happen to do,蔵う
lives,仕舞屋
household that lives without carrying on a business,仕舞屋
unsold,仕舞物
goods left unsold,仕舞物
redoing,遣直
dying (to do),しょうが無い
reluctantly,否否乍ら
gestures,仕形噺
talking with gestures,仕形噺
specifications,仕訳書
book-keeping,仕訳帳
book-keeping journal,仕訳帳
journal (accounts),仕訳表
specification,明示
(technical) specification,仕樣
specification document,仕様書
documents,仕様書き
specification documents,仕様書き
to despatch,仕立てる
dressmaker,仕立屋
brand,仕立て下ろし
brand new (clothes),仕立て下ろし
making over (clothing),仕立て直し
method of training,仕立て方
dressmaking,仕立券
free dressmaking ticket (with a purchase of cloth),仕立券
tailored,仕立て物
newly tailored clothes,仕立て物
to shoot down,為留める
larva,仔虫
to spy out,伺い探る
to speak to (a large crowd at a theatre, etc.)
waiting upon (someone),伺候
charmer,遣い
convenience,使いかって
acquire,使い熟す
to acquire a command of (a language),使い熟す
squander,遣い果す
to squander,使い尽くす
overwork,使い過ぎる
to overwork someone,使い過ぎる
to break in (horses),使い慣らす
to get accustomed to using,使い馴れる
to wear out (something),使い古す
to use for a long time,遣い込む
leavings,使い残り
spendthrift,遣い手
going a long way,遣い出
errand,使い先
the place where one is sent on an errand,使い先
messenger,伝令者
messenger tip or charge,使い賃
way to use something,使い途
using (different things) for different purposes,使分け
to use (different things) for different purposes,使いわける
errand girl,使い歩き
how to use,使い様
causing,使い立て
causing you trouble,使い立て
to speak,吐かす
emissary,密偵
to despatch a messenger,使者を遣わす
delegation,代表団
apostolic,使徒継承
apostolic succession,使徒承伝
Acts,使徒行伝
Apostles,使徒行伝
Acts of the Apostles (book of the Bible),使徒行伝
Epistles,使徒書
the Epistles (of the New Testament),使徒書簡
Apostle's,使徒信経
Creed,使徒信経
Apostle's Creed,使徒信経
Apostles',使徒信条
Apostles' Creed,使徒信条
the Apostles,使徒達
how goods are used,使途
causative, etc.)
causative (verb, etc.)
causative verb,使役動詞
utilisation,使用
utility value,使用価値
may be used,使用可能
ban on using (something),使用禁止
right to use,使用権
spent, battery
spent (fuel, battery
employer,雇用主
method of use,使用方
usage method,使用法
amount used,使用量
use example,使用例
instigation,指嗾
representatives,使聘
exchange of diplomatic representatives,使聘
calling card,刺
to move,身動ぐ
pricking,刺し
pierce,刺し貫く
to pierce,突破る
stab,刺し殺す
to stab to death,突き留める
prick,刺傷
to run through (e.g. with a sword),刺通す
gill,刺し網
gill net,刺し網
to pick off,刺す
assassin,暗殺者
catcher,捕手
man catcher,刺又
putting out,鎮火
puncture wound,刺傷
sashimi (raw sliced fish, shellfish or crustaceans)
sashimi knife,刺し身包丁
Urtica,蕁麻
thunbergiana,蕁麻
stinging,蕁麻
nettle,蕁麻
Urtica thunbergiana (species of stinging nettle),蕁麻
forceps,かん子
bloodletting,刺絡
administer,司どる
to administer,司どる
master of ceremonies,司会
host, etc.)
host (of a TV show, etc.)
bishop,角行
bishop (Catholic),司教
administration of justice,掌理
justice system,司法制度
control room,司令室
historian,歴史家
study of history,史学
chronicler,史官
view of history (from a given point of view),史観
historical insight,史眼
historical drama,歴史劇
historical poem,史詩
historical fact,史実
history book,史書
in history,史上に
greatest ... in history,史上最大
annals,歴代史
historical story,史談
historical present,史的現在
materialism,物質主義
historical materialism,唯物史観
historical material,史伝
historical writing,史筆
outline history,史略
museum,博物館
historiography,史料編纂
historical discussion,史論
cross grips,４つ
flat,變
falling flat,四つんばい
four-footed,四つ足
four-footed (animal),四つ足
four-leaf,四つ葉のクローバー
clover,四つ葉のクローバー
four-leaf clover,四つ葉のクローバー
tetragon,四角形
seasons,四季
the four seasons,春夏秋冬
a walk,四球
the four and eight kinds of suffering,四苦八苦
ordinal,四隅
directions,示達
four ordinal directions,四隅
thousands column,四桁
fourth,四月
fourth month in the lunar calendar,四月
four velocity,四元速度
smallest,四国
Shikoku (smallest of the four main islands of Japan),四国
arms and legs,四肢
four-character,４字熟語
four-character compound word (esp. idiomatic),４字熟語
four o'clock,四時
4D,４次元
rounding,四捨五入
rounding half up,四捨五入
Oriental,東洋風
tit,四十雀
Oriental tit,四十雀
instrumental quartet,四重奏
assignations,四畳半
small room esp. for assignations,四畳半
Szechwan,四川
traffic network extending in all directions,四通八達
four horse coach,四頭立ての馬車
four days,四日
quarter (of a year),四半期
one fourth,四分
disrupted,四分五裂
disorganized,四分五裂
disrupted and disorganized,四分五裂
four sides (of a shape),四辺
four sides (of a square),四方
in all directions,前後左右
betrayed,四面楚歌
forsaken,四面楚歌
being betrayed (forsaken) by everybody,四面楚歌
4WD,４輪駆動車
4WD car,４輪駆動車
day and night,明け暮れ
military academy,士官学校
esprit,士気
esprit de corps,団結心
man of learning and virtue,士君子
the whole town,士女
leading private (JSDF),士長
hierarchy of samurai, farmers
originate,始まる
to originate (in),基付く
from the beginning,始めから
Preface,始めに
from first to last,始終
pioneer,先覚
Archaeopteryx,始祖鳥
departing,遑
departing one's home station (of a train, bus
thrifty,仕末
being thrifty,仕末
elder sister,姐御
ma'am,姐さん
older female friend,姉貴
older sister,姉上
older sister and younger brother,姉弟
sister company,姉妹会社
twin,ふた子
twin town,姉妹都市
wearing ...,姿
vanish,姿を消す
to vanish,消しとぶ
full-length,姿見
full-length mirror,姿見
stance,姿勢
sashimi prepared from live fish, arranged in its original shape
-er,児
women,児
-er (often of young women),児
eleventh,子
eleventh month of the lunar calendar,中冬
parenting,子育て
consonant,子音
pop-up,子画面
pop-up window,子画面
subsidiary (company),子会社
uterus,子宮
uterine,子宮頚
cervix,子宮頚
uterine cervix,子宮頚
Children's,子供の日
Children's Day (national holiday; May 5),子供の日
for children,子供用
(computer) slave station,子局
to look closely,子細に見る
filicide,子殺し
teaching from an early stage (e.g. a subordinate),子飼い
roe,子持
(of a fish) containing roe (eggs),子持
babysitter,子守り
lullaby,子守り唄
seed,子胤
(one's) seed,子胤
offspring,子孫
young people,年少者
Rat,ネズミ年
year of the Rat,ネズミ年
filly,雌馬
adoring,子煩悩
adoring parent,子煩悩
adopted,乾分
adopted child,乾分
Citipati,屍陀林王
skeletal,屍陀林王
demi-gods,屍陀林王
Citipati (skeletal Buddhist demi-gods),屍陀林王
the town,市井
townspeople,町民
city facility management,市営
municipal,区立
municipal housing,市営住宅
city council,市参事会
city assemblyman,市議
suburbs,野外
long-distance call,市外電話
urban warfare,市街戦
built-up,市街地
built-up area,市街地
market conditions,商状
streets,市区
municipal bond,市債
child from the city,神巫
ichimatsu,市松
ichimatsu doll,市松
in the street,市上
marketplace,市庭
(street) market,市場
market saturation,市場の飽和状態
